Fisrt_Name,Last_Name,Gender,Age,Length_Service,Absent_Hours,distribution_centers_id
Gutierrez,Molly,F,32.02881569,6.018478474,36.57730606,5
Hardwick,Stephen,M,40.32090167,5.532444578,30.16507231,9
Delgado,Chester,M,48.82204661,4.389973118,83.80779766,10
Simon,Irene,F,44.59935722,3.081735738,70.02016505,2
Delvalle,Edward,M,35.69787561,3.619091448,0,4
Jones,Ernie,M,48.44031059,2.717692452,81.83007916,6
Buford,Ralph,M,50.75273,10.157918,60.49507152,6
Lee,Gregory,M,36.2160312,4.432122862,30.07290192,10
Smith,Jerry,M,58.42738025,6.940120524,181.630819,4
Beard,Robert,M,39.85398,13.848321,30.66440832,10
Mathis,John,M,46.54758052,4.872038321,28.01835332,3
Barajas,John,M,15,3.793042148,0,5
Leonard,James,M,37.72801116,3.621141838,0,6
Davis,Janet,F,30.78519091,4.583328091,34.33444296,1
Bell,Thomas,M,49.92338,4.883225,0,9
Combs,Danny,M,42.79789,19.107198,21.65982312,2
Vivanco,Anne,F,48.6213,9.940272,0,3
Craig,Bobbie,F,41.85581217,2.559053659,55.09983109,8
Jones,Ilona,F,51.00873723,5.30277286,81.59554037,9
Watkins,Jan,F,36.91041,11.22628,94.66856131,5
Callaway,Jesus,M,57.90324297,3.300303735,108.3801763,7
Hammett,Josephine,F,24.47030259,3.147510228,0,2
Jarman,Sandra,F,49.51672,6.5335,67.74078948,6
Butler,Jennifer,F,60.5955091,4.465036581,158.7045089,8
Simons,Larry,M,35.80466401,4.626920266,0,6
Mason,Penny,F,35.87338778,3.101925634,48.0170507,7
Burton,Theodore,M,41.93560641,4.557230329,42.78802656,8
Hunt,Joseph,M,35.49790596,5.174673648,34.52427221,7
Loiselle,Thomas,M,40.02887,12.185467,59.88316464,3
Nguyen,William,M,49.75658466,4.313617694,100.6740987,4
Schrupp,James,M,38.11173232,3.493533521,9.522523814,3
Donaldson,Adriana,F,42.8715,19.006436,38.88332344,1
Thompson,Felipe,M,49.94274462,5.775266268,129.8357633,3
Livingston,Lester,M,77,3.203849714,44.2731088,7
Ashley,Emma,F,23.74733283,2.992041355,0,6
Davis,Jeffery,M,36.196064,18.196064,0,2
Farris,Augustina,F,51.56495808,4.641869886,75.25704812,6
Colman,Katherine,F,40.41201341,6.192268184,58.97153025,8
Martin,Daniel,M,52.44651862,4.29126449,134.6683839,3
Atencio,Morris,M,20.02556154,4.483391669,0,3
Harrod,Gloria,F,44.60660014,4.862142071,78.34173929,3
Bell,Angelo,M,67.08801208,2.183958352,168.9957664,8
Kelley,Virginia,F,41.25328235,2.018782807,56.21994065,9
Turner,Stephen,M,62.05182058,5.473604647,152.6467667,9
Mortimer,Cecilia,F,28.07544199,5.776657666,0,4
Stutts,Belle,F,49.90577748,5.357402979,80.24254043,7
Bryant,John,M,50.07982,1,78.7532824,9
Nolan,John,M,33.80945018,5.654808747,0,2
Allison,Connie,F,51.60595642,3.9855896,88.91127783,10
McAllister,Greg,M,38.678832,20.678832,21.38553248,6
Murry,Adam,M,30.29765034,7.560140987,3.737100223,4
Price,David,M,43.68608721,0.385746182,38.06658377,5
McCoy,Corey,M,50.04741662,5.702536846,116.2269635,1
Baker,Linda,F,34.68894529,4.721105791,0,3
Shultz,Charles,M,29.32983419,3.28103742,0,5
Medina,Bonita,F,50.01054543,3.653801673,77.13030678,2
Houston,Harold,M,24.50853,4.796216863,0,1
Mejia,James,M,42.62840469,4.124606978,24.79287091,5
Bates,Charles,M,54.04930086,4.060790515,121.4480075,10
Ross,Robert,M,43.91047001,4.197598793,59.7836809,7
Heller,Joseph,M,42.59140213,5.101161761,55.62426288,2
Murray,Faye,F,55.76305,10.623616,0,8
Allen,Michelle,F,31.16665889,0.775517909,0,6
Jones,Harvey,M,43.26243975,5.843569409,55.05895104,5
Nystrom,Jane,F,35.61924833,3.679095448,44.6346054,4
Albright,Paul,M,39.26200269,5.748053523,42.45739254,2
Lovely,Janet,F,22.5364126,5.897640636,0,2
Strayhorn,Billie,F,39.73937,11.885504,0,7
Jones,Tammy,F,46.94959435,2.024655355,107.7955005,3
